DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-04-24,MANHATTAN,3249,0,151
2015-04-24,QUEENS,891,0,124
2015-04-24,STATEN ISLAND,34,0,16
2015-04-25,BRONX,360,0,60
2015-04-25,BROOKLYN,1595,0,132
2015-04-25,MANHATTAN,3304,0,116
2015-04-25,QUEENS,1017,1,106
2015-04-25,STATEN ISLAND,39,0,8
2015-04-26,BRONX,317,0,55
2015-04-26,BROOKLYN,1461,1,123
2015-04-26,MANHATTAN,3044,0,86
2015-04-26,QUEENS,967,0,83
2015-04-26,STATEN ISLAND,33,1,18
2015-04-27,BRONX,277,0,60
2015-04-27,BROOKLYN,1085,0,148
2015-04-27,MANHATTAN,2592,0,105
2015-04-27,QUEENS,788,0,111
2015-04-27,STATEN ISLAND,22,0,12
2015-04-28,BRONX,284,0,60
2015-04-28,BROOKLYN,1048,0,117
2015-04-28,MANHATTAN,2740,0,130
2015-04-28,QUEENS,815,2,134
2015-04-28,STATEN ISLAND,22,0,18
2015-04-29,BRONX,280,0,57
2015-04-29,BROOKLYN,1119,0,156
2015-04-29,MANHATTAN,2712,0,137
2015-04-29,QUEENS,789,0,126
2015-04-29,STATEN ISLAND,32,0,23
2015-04-30,BRONX,290,0,63
2015-04-30,BROOKLYN,1116,0,145
2015-04-30,MANHATTAN,2837,0,139
2015-04-30,QUEENS,826,0,127
2015-04-30,STATEN ISLAND,34,0,12
2015-05-01,BRONX,321,0,63
2015-05-01,BROOKLYN,1358,1,141
2015-05-01,MANHATTAN,3444,0,149
2015-05-01,QUEENS,1002,0,117
2015-05-01,STATEN ISLAND,43,0,15
2015-05-02,BRONX,393,0,51
2015-05-02,BROOKLYN,1726,0,118
2015-05-02,MANHATTAN,3649,0,95
2015-05-02,QUEENS,1108,0,102
2015-05-02,STATEN ISLAND,41,0,19
2015-05-03,BRONX,368,0,59
2015-05-03,BROOKLYN,1536,0,132
2015-05-03,MANHATTAN,3161,0,117
2015-05-03,QUEENS,1028,0,88
2015-05-03,STATEN ISLAND,36,0,14
2015-05-04,BRONX,266,0,62
2015-05-04,BROOKLYN,1140,1,173
2015-05-04,MANHATTAN,2949,0,102
2015-05-04,QUEENS,844,0,134
2015-05-04,STATEN ISLAND,37,0,21
2015-05-05,BRONX,270,0,56
2015-05-05,BROOKLYN,1081,0,152
2015-05-05,MANHATTAN,3163,0,125
2015-05-05,QUEENS,813,0,121
2015-05-05,STATEN ISLAND,24,0,28
2015-05-06,BRONX,286,0,46
2015-05-06,BROOKLYN,1127,0,135
2015-05-06,MANHATTAN,3228,1,126
2015-05-06,QUEENS,920,0,124
2015-05-06,STATEN ISLAND,32,0,16
2015-05-07,BRONX,306,0,80
2015-05-07,BROOKLYN,1141,0,151
2015-05-07,MANHATTAN,3217,0,126
2015-05-07,QUEENS,854,0,128
2015-05-07,STATEN ISLAND,29,0,25
2015-05-08,BRONX,340,0,74
2015-05-08,BROOKLYN,1292,0,156
2015-05-08,MANHATTAN,3360,0,132
2015-05-08,QUEENS,854,1,132
2015-05-08,STATEN ISLAND,49,0,30
2015-05-09,BRONX,368,0,52
2015-05-09,BROOKLYN,1633,0,118
2015-05-09,MANHATTAN,3388,1,103
2015-05-09,QUEENS,1052,0,113
2015-05-09,STATEN ISLAND,43,0,24
2015-05-10,BRONX,355,0,51
2015-05-10,BROOKLYN,1528,1,147
2015-05-10,MANHATTAN,2962,0,93
2015-05-10,QUEENS,1000,0,108
2015-05-10,STATEN ISLAND,36,1,18
2015-05-11,BRONX,286,0,51
2015-05-11,BROOKLYN,1185,0,163
2015-05-11,MANHATTAN,2956,0,135
2015-05-11,QUEENS,869,1,132
2015-05-11,STATEN ISLAND,32,0,22
2015-05-12,BRONX,266,1,76
2015-05-12,BROOKLYN,1069,0,165
2015-05-12,MANHATTAN,3134,0,133
2015-05-12,QUEENS,852,0,109
2015-05-12,STATEN ISLAND,22,0,23
2015-05-13,BRONX,283,1,51
2015-05-13,BROOKLYN,1121,0,163
2015-05-13,MANHATTAN,3203,0,135
2015-05-13,QUEENS,855,0,120
2015-05-13,STATEN ISLAND,26,0,24
2015-05-14,BRONX,273,0,59
