DATE,Borough,counts
2015-05-26,Bronx,291
2015-05-26,Brooklyn,1182
2015-05-26,Manhattan,2936
2015-05-26,Queens,946
2015-05-26,Staten Island,25
2015-05-26,Unknown,11
2015-05-27,Bronx,290
2015-05-27,Brooklyn,1136
2015-05-27,EWR,1
2015-05-27,Manhattan,3286
2015-05-27,Queens,876
2015-05-27,Staten Island,41
2015-05-27,Unknown,14
2015-05-28,Bronx,305
2015-05-28,Brooklyn,1171
2015-05-28,Manhattan,3470
2015-05-28,Queens,919
2015-05-28,Staten Island,34
2015-05-28,Unknown,11
2015-05-29,Bronx,347
2015-05-29,Brooklyn,1327
2015-05-29,EWR,1
2015-05-29,Manhattan,3455
2015-05-29,Queens,989
